user	date	time	text																								
Coldstar	10/26/2007	11:43 AM	"


How We Get Brainwashed!




I could not find a thread on brainwashing. Accusations of being brainwashed are coming across every so often at this board. Therefore I thought it good to start a discussion on brainwashing.
Giving cases and examples of brainwashing, and how we can become victims of brainwashing, and the exploration of the various angles of brainwashing, its subtleties, just anything that has to do with brainwashing would be suitable for this thread. 
Who brainwashes us and why? Quotes on brainwashing. Who is brainwashed and how can somebody snap out of a state of being brainwashed?
Do you remember a time when you were brainwashed, and do you remember who did it to you and how you snapped out of it? 
I think this could not only make for an interesting discussion but also for an educational and healing one.
---
Influencing public behavior so that the elite achieves its political goals is the most common form of brainwashing. Would the elite hesitate to use all available techniques to exploit us through brainwashing?
We understand the use of the mass media to brainwash us, but would the elite be the cause of persisting social crises as well? Is creative destruction a tool of brainwashing and is it being used?
Is sports on TV and radio being used as a tool to keep us docile? If the masses think too much, that could get dangerous to the system, and therefore great importance is put on meaningless distraction. 
Slogans, what are the slogans which are being used to brainwash us and how do these slogans harm us?
Why do our politicians lie so much? Is their lying is central to the survival of their goals?
I will leave it here and hope that you find this discussion stimulating.






__________________
$
$............$
...$... 
$............$
$JEWMERICAKeep Stormfront Alive & Growing


"																								
ManifestDestiny	10/26/2007	12:40 PM	"


Re: How We Get Brainwashed!


Everything about TV programming is designed to make entire populations become docile, servile, essentially prisoners in their own homes. I threw mine out months ago and have never felt better. The following highlights come from this article, which likens TV to a plug-in-drug, a deity in the corner of the room, and even a robot factory.
""Not unlike drugs and alcohol, TV watching allows the participant to blot out the real world and enter into a pleasurable and passive mental state, where worries and anxieties cannot intrude. The typically vacant stare of someone on drugs or alcohol is very similar to the stare of the TV watcher.""
""The brain is patterned by the senses, by movement, speech, thought and imagination. As the brain develops, children shift from a non-verbal right hemisphere dreaming consciousness to a verbal, logical left hemisphere state. Television watching prolongs childrens dependency on the right hemisphere.""
""Children develop their sense of identity, of saying I to themselves in meeting real people. The people on TV are unreal, impersonal images which do little or nothing to awaken a childs sense of self. Hence TV children may tend to relate to themselves and others as things, objects, tools, or even machines. This attitude may later develop into an inability to react constructively in social situations.""


"																								
oriole	10/26/2007	12:59 PM	"


Re: How We Get Brainwashed!


The only brainwashing being done is is by our school's,Tv,newspaper,advertisement and any thing that is controlled by people trying to make us as white's ashamed of our race.The only real non brainwashing you can get is from the computer.But even often you come across anti this website's and the adl website.So even being on the computer you can still be brainwashed.So take the time and really think for your self cause the new's,Tv,school's is all controlled by government,jew's,and corperation's.That same group of people stay rich and powerfull by trying to multicultral us in to one race.So in all reality the only brainwashing being done is by the person saying you are brainwashed.Next time ask why am I brainwashed cause I love my race.The only awnser you'll get is a political correst awnser.


"																								
Coldstar	10/26/2007	2:43 PM	"


Re: How We Get Brainwashed!




Quote:


Originally Posted by ManifestDestiny



""Children develop their sense of identity, of saying I to themselves in meeting real people. The people on TV are unreal, impersonal images which do little or nothing to awaken a childs sense of self. Hence TV children may tend to relate to themselves and others as things, objects, tools, or even machines. This attitude may later develop into an inability to react constructively in social situations.""


I have met a number of those images on TV and those voices on radio in real life, when I was younger. I had conversations with them and invitations by them and those images became real. Many of those people are better and more down to earth than one imagines them to be. They have a job and they do their part. Most people in entertainment make a better living than the rest of us, but they are not really different. Those images, I think, are not what is brainwashing us. While the mass media is a tool for brainwashing, I think that it are those programs which are meant to send messages to us, politically correct messages and ""jewishly"" correct messages, which do the harm. 
Another problem is that we are being confronted with situations which we do not properly understand and vital facts have been let out in the reporting. Then we draw false conclusions, precisely the conclusions which we are supposed to come to. Because we think we figured it out ourselves we cannot realize that we are in fact victims of manipulation which is related to brainwashing.
How many people, for example, know that the Muslim Terrorist Apparatus was Created by US Intelligence as a Geopolitical Weapon?
According to Zbigniew Brzezinski who served as National Security Advisor under Jimmy Carter, the US began covert sponsorship of Muslim extremists five months before the Soviets invaded Afghanistan. US Politicians conspired to foment a weapon of policy, pretending they were helping freedom fighters resist an invasion. It was deceit on two levels. (Source)
This was supposed to help bring down Communism, by dragging Russia into its own ""Vietnam war"", and it worked. But now instead of Communism we have the Muslim terrorists, the Jihadists, to worry about. Those Jihadists can be used for a whole new level of brainwashing. It is a good thing that the Muslim nations are not united at this time. Let us hope that they never will be united, otherwise we are going to be in a fix of even greater proportions than the ones we have been pushed into so far.


"																								
Coldstar	10/26/2007	4:12 PM	"


Re: How We Get Brainwashed!


The CIA and the Media
Excerptshttp://mtracy9.tripod.com/cia_media.htm
Quote:

""The Central Intelligence Agency owns everyone of any significance in the major media.""
--William Colby, former CIA Director, quoted by Dave Mcgowan, Derailing Democracy
""You could get a journalist cheaper than a good call girl, for a couple hundred dollars a month.""
--CIA operative, discussing the availability and prices of journalists willing to peddle CIA propaganda and cover stories. Katherine the Great, by Deborah Davis
""There is quite an incredible spread of relationships. You don’t need to manipulate Time magazine, for example, because there are [Central Intelligence] Agency people at the management level.""
--William B. Bader, former CIA intelligence officer, briefing members of the Senate Intelligence Committee, The CIA and the Media, by Carl Bernstein
""The Agency's relationship with [The New York] Times was by far its most valuable among newspapers, according to CIA officials. [It was] general Times policy ... to provide assistance to the CIA whenever possible.""
--The CIA and the Media, by Carl Bernstein

The question now is, did we get brainwashed by the CIA to think that Iran is the enemy of the USA, or is Iran on the US team as this article states?http://wagnews.blogspot.com/2005/08/...on-drivel.html
Are you finding it difficult sometimes to separate reality from falsehoods?





Last edited by Coldstar; 10-26-2007 at 05:22 PM.



"																								
marquis013	10/26/2007	6:25 PM	"


Re: How We Get Brainwashed!


I believe what most think is brainwashing could be more accurately defined as conditioning; and it primarily begins in childhood. For example, most children up to around 9 or 10 years of age believe that a jolly ol fat man with a white beard wearing a red suit slides down the chimney or walks through the front door every Christmas eve bringing gifts for all good little kids. 
Nevermind the logistics of one man transporting enough gifts quickly enough to supply every good little kid in the world in a matter of hours...but the logic doesn't matter because children will believe just about anything that adults tell them whether it be parents, strangers, tv, advertising or movies. 
Another example is religion: What a coincidence that many children raised in Boston are Catholic, in Tennessee are Baptist, in India are Hindu, in Japan are Buddist, in Iraq are Muslim, in Pennsylvania are Quaker, and in San Fran Wacko have no religion. Well, it's no coincidence at all but is very easily explained when understood that children believe most everything that's inculcated into their skulls.
And these examples are primarily how our own parents brainwash and condition us. I haven't even mentioned the two most powerful sources used to brainwash and condition children: Media and public education. And therein lay the problem for pro-whites--especially now that children are attending schools and are plunked before tv and dvd players at progressively younger ages--as anti-whites control and manipulate tv, movies, advertising and public education, thus, control and manipulate our children.

"																								
op135	10/27/2007	1:27 AM	"


Re: How We Get Brainwashed!


i don't know if this counts and i hope it doesn't offend anyone. on a different topic, i think of ketchup as a product of brainwashing. think about it. whenever, you go to a restaurant, what is the condiment that people usually serve with meals? it is shown on tv as if you're not american if you don't like it. when i was young, my parents each liked mustard and ketchup, and they influenced me to try them. i'm glad i did, because i felt like i had a choice in the matter of choosing my favorite condiment, unlike many people i believe, do not. maybe i'm just skeptical or maybe there are just that many people who like really like ketchup, and restaurants just assume everyone likes it to save money on unused mustard containers. btw, i prefer mustard.


"																								
Coldstar	10/27/2007	9:24 PM	"


Re: How We Get Brainwashed!




Quote:


Originally Posted by marquis013



And these examples are primarily how our own parents brainwash and condition us. I haven't even mentioned the two most powerful sources used to brainwash and condition children: Media and public education. And therein lay the problem for pro-whites--especially now that children are attending schools and are plunked before tv and dvd players at progressively younger ages--as anti-whites control and manipulate tv, movies, advertising and public education, thus, control and manipulate our children.


LOL, talking about brainwashing by parents. Mine made me believe that they were perfect and trustworthy, just and fair and I actually believed them.
If I had been a victim of media ""brainwashing', which I was not since there was no TV for me to watch, I might have been more skeptical.


"																								
Dr.	10/27/2007	9:56 PM	"


Re: How We Get Brainwashed!


I was once told by a professor that there are two main categories of techniques the media uses to influence people. I don't recall if there are technical terms for each of them. 
The first way is the ""direct"" approach whereby the TV ""tells people what the heck to do"", e.g., ""don't do drugs"", ""eat your vegetables"", ""marry Negroes"", etc. This approach is not very effective.
The other, indirect, approach is to constantly provide examples of other people behaving in a certain way. e.g., Blacks and Whites marrying, every show having main characters that are opposed to ""racism"", Black or Mexicans that behave as though they are good members of society or even that act much like Whites (e.g., The Jeffersons). This latter approach has been shown to be very effective.
In his 2005 EURO speech, Nick Griffin (the chairman of the BNP) made similar observations about the WN movement. Griffin said that the vast majority of people cannot wake up from something they read. Instead, they have to see others behaving in a certain way before they can accept a new way of thinking or behaving.
It is perhaps a sad commentary on the mindset of the common man, but as Griffin said, ""There you are."", i.e., it is a fact we have to accept.
That said, there are many, many people in our population who can be awoken by something they read or hear and we have to try to reach those first because we will need their help to get the numbers we'll need to implement the indirect approach (well, at least, outside of PLEs).


"																								
marquis013	10/27/2007	10:03 PM	"


Re: How We Get Brainwashed!


Agreed! Parents are sometimes our worst enemy. But take a look around at the ever-feminized white males of today who are practically all the product of 4 hours a day in front of the tv. It's the main reason why we can no longer defend our borders and race. 
Quote:


Originally Posted by Coldstar


LOL, talking about brainwashing by parents. Mine made me believe that they were perfect and trustworthy, just and fair and I actually believed them.
If I had been a victim of media ""brainwashing', which I was not since there was no TV for me to watch, I might have been more skeptical.





"																								
